Location,StartDate,StartTime,EndDate,EndTime,Title,Category,Description
2,01/07/2018,0:00:00,01/07/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,01/14/2018,0:00:00,01/14/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,01/20/2018,0:00:00,01/21/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,01/28/2018,0:00:00,01/28/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,02/04/2018,0:00:00,02/04/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,02/11/2018,0:00:00,02/11/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,02/25/2018,0:00:00,02/25/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,03/03/2018,0:00:00,03/04/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,03/10/2018,0:00:00,03/11/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,03/18/2018,0:00:00,03/18/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,03/24/2018,0:00:00,03/25/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,04/01/2018,0:00:00,04/01/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,04/08/2018,0:00:00,04/08/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,04/14/2018,0:00:00,04/15/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,04/22/2018,0:00:00,04/22/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,04/28/2018,0:00:00,04/29/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,05/05/2018,0:00:00,05/06/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,05/13/2018,0:00:00,05/13/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,05/19/2018,0:00:00,05/20/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,05/27/2018,0:00:00,05/27/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,06/02/2018,0:00:00,06/03/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,06/09/2018,0:00:00,06/10/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,06/17/2018,0:00:00,06/17/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,06/23/2018,0:00:00,06/24/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,07/01/2018,0:00:00,07/01/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,07/07/2018,0:00:00,07/08/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,07/15/2018,0:00:00,07/15/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,07/21/2018,0:00:00,07/22/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,07/29/2018,0:00:00,07/29/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,08/04/2018,0:00:00,08/05/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,08/11/2018,0:00:00,08/12/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,08/19/2018,0:00:00,08/19/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,08/26/2018,0:00:00,08/26/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,09/01/2018,0:00:00,09/01/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,09/08/2018,0:00:00,09/09/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,09/16/2018,0:00:00,09/16/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,09/22/2018,0:00:00,09/23/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,09/30/2018,0:00:00,09/30/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,10/06/2018,0:00:00,10/07/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,10/14/2018,0:00:00,10/14/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,10/20/2018,0:00:00,10/21/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,10/28/2018,0:00:00,10/28/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,11/03/2018,0:00:00,11/04/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,11/11/2018,0:00:00,11/11/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,11/17/2018,0:00:00,11/18/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,11/25/2018,0:00:00,11/25/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,12/01/2018,0:00:00,12/02/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,12/09/2018,0:00:00,12/09/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,12/15/2018,0:00:00,12/16/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,12/23/2018,0:00:00,12/23/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,12/30/2018,0:00:00,12/30/2018,23:59:00,Nghỉ cuối tuần,Weekend,Description72
2,01/01/2018,0:00:00,01/01/2018,23:59:00,Nghỉ lễ,Holiday,Description73
2,02/14/2018,0:00:00,02/18/2018,23:59:00,Nghỉ lễ,Holiday,Description74
2,04/25/2018,0:00:00,04/25/2018,23:59:00,Nghỉ lễ,Holiday,Description75
2,04/30/2018,0:00:00,05/01/2018,23:59:00,Nghỉ lễ,Holiday,Description76
2,09/02/2018,0:00:00,09/02/2018,23:59:00,Nghỉ lễ,Holiday,Description77
2,02/12/2018,0:00:00,02/13/2018,23:59:00,Nghỉ bù,Compensation Day-Off,Description78
2,02/19/2018,0:00:00,02/20/2018,23:59:00,Nghỉ bù,Compensation Day-Off,Description79
2,09/03/2018,0:00:00,09/03/2018,23:59:00,Nghỉ bù,Compensation Day-Off,Description80
2,12/31/2018,0:00:00,12/31/2018,23:59:00,Nghỉ bù,Compensation Day-Off,Description81
