Key,Subject,Body,Category,Note
OvertimeManagement_Reject,Overtime Work Request Rejected/Đơn xin làm thêm giờ không được duyệt,"<p>Hello/Xin ch&agrave;o {0},</p><p>Your <strong>Overtime Request&nbsp;</strong> has been <strong>rejected</strong>. The details as following:</p><table><tbody><tr><td><strong>Requester:</strong></td><td>{1}</td></tr><tr><td><strong>Registered employee:</strong></td><td>{2}</td></tr><tr><td><strong>Rejector:</strong></td><td>{3}</td></tr><tr><td><strong>Time:</strong></td><td>{4}</td></tr><tr><td><strong>Work content:</strong></td><td>{5}</td></tr></tbody></table><p>You can access to this&nbsp;<a href='#link'>link</a>&nbsp;to view the Overtime Request.</p><p>&nbsp;</p><p>&nbsp;Đơn <strong>Đăng K&yacute; Tăng Ca</strong> của bạn <strong>kh&ocirc;ng được duyệt</strong>. Chi tiết như sau:</p><table><tbody><tr><td><strong>Người y&ecirc;u cầu:</strong></td><td>{1}</td></tr><tr><td><strong>Người được đăng k&yacute;:</strong></td><td>{2}</td></tr><tr><td><strong>Người duyệt</strong></td><td>{3}</td></tr><tr><td><strong>Thời gian:</strong></td><td>{4}</td></tr><tr><td><strong>Nội dung c&ocirc;ng việc:</strong></td><td>{5}</td></tr></tbody></table><p>Bạn c&oacute; thể truy cập v&agrave;o <a href='#link'>li&ecirc;n kết</a> n&agrave;y để xem th&ecirc;m th&ocirc;ng tin.</p><p><strong><em>Note:</em></strong><em> This is an auto-email generated by STADA email system, please </em><strong><em>DO NOT</em></strong><em> reply!</em></p><p><em>Best regards,</em></p><p>STADA Email System</p>",Overtime Management,"
{0} Receiver
{1} Requester
{2} Rejector
{3} Department
{4} Time
{5} Work content
#link - Link to page"
OvertimeManagement_Reject_Requester,Overtime Work Request Rejected/Đơn xin làm thêm giờ không được duyệt,"<p>Hello/Xin ch&agrave;o {0},</p><p>Your <strong>Overtime Request </strong>for employees in department&nbsp;has been <strong>rejected</strong>. The details as following:</p><table><tbody><tr><td><strong>Date:</strong></td><td>{1}</td></tr><tr><td><strong>Rejector:</strong></td><td>{2}</td></tr><tr><td><strong>Department</strong>:</td><td>{3}</td></tr></tbody></table><p>You can access to this&nbsp;<a href='#link'>link</a>&nbsp;to view the Overtime Request.</p><p>&nbsp;</p><p>Đơn <strong>Đăng K&yacute; Tăng Ca</strong>&nbsp;cho nh&acirc;n vi&ecirc;n trong ph&ograve;ng ban của bạn đ&atilde; <strong>kh&ocirc;ng được</strong>&nbsp;<strong>duyệt</strong>. Chi tiết như sau:</p><table><tbody><tr><td><strong>Ng&agrave;y:</strong></td><td>{1}</td></tr><tr><td><strong>Người duyệt:</strong></td><td>{2}</td></tr><tr><td><strong>Ph&ograve;ng ban</strong>:</td><td>{4}</td></tr></tbody></table><p>Bạn c&oacute; thể truy cập v&agrave;o <a href='#link'>li&ecirc;n kết</a> n&agrave;y để xem th&ecirc;m th&ocirc;ng tin.</p><p><strong><em>Note:</em></strong><em> This is an auto-email generated by STADA email system, please </em><strong><em>DO NOT</em></strong><em> reply!</em></p><p><em>Best regards,</em></p><p>STADA Email System</p>",Overtime Management,"
{0} Receiver
{1} Requester
{2} Rejector
{3} Department
{4} Phòng Ban 
#link Link to page"
VehicleManagement_Request,Vehicle Request/Đơn xin đi xe,"<p>Hello/Xin chào {0},</p><p>You have new <strong>Vehicle Request</strong> for approval. The details as following:</p><table><tbody><tr><td><strong>Requester</strong>:</td><td>{1}</td></tr><tr><td><strong>From</strong>:</td><td>{2}</td></tr><tr><td><strong>To</strong>:</td><td>{3}</td></tr><tr><td><strong>Department</strong>:</td><td>{4}</td></tr></tbody></table><p>You can access to this&nbsp;<a href='#link'>link</a>&nbsp; for more information.</p><p>&nbsp;</p><p>Bạn có một đơn <strong>Đăng Ký Đi Xe</strong> cần duyệt. Chi tiết như sau:</p><table><tbody><tr><td><strong>Người yêu cầu</strong>:</td><td>{1}</td></tr><tr><td><strong>Từ Ngày</strong>:</td><td>{2}</td></tr><tr><td><strong>Đến Ngày</strong>:</td><td>{3}</td></tr><tr><td><strong>Phòng ban</strong>:</td><td>{5}</td></tr></tbody></table><p>Bạn có thể truy cập vào <a href='#link'>liên kết</a> này để xem th&ecirc;m th&ocirc;ng tin.</p><p><strong><em>Note:</em></strong><em> This is an auto-email generated by STADA email system, please </em><strong><em>DO NOT</em></strong><em> reply!</em></p><p><em>Best regards,</em></p><p>STADA Email System</p>",Vehicle Management,"{0} Receiver
{1} Requester
{2} From
{3} To
{4} Department
{5} Phòng Ban 
#link Link To page Vehicle Management"
VehicleManagement_Approve,Vehicle Request Approved/Đơn xin đi xe được duyệt,"<p>Hello/Xin chào {0},</p><p>Your <strong>Vehicle Request&nbsp;</strong> has been <strong>approved</strong> by {1}. The details as following:</p><table><tbody><tr><td><strong>Requester</strong>:</td><td>{0}</td></tr><tr><td><strong>From</strong>:</td><td>{2}</td></tr><tr><td><strong>To</strong>:</td><td>{3}</td></tr></tbody></table><p>You can access to this&nbsp;<a href='#link'>link</a>&nbsp; for more information.</p><p>&nbsp;</p><p>&nbsp;Đơn <strong>Đăng Ký Tăng Xe</strong> của bạn đã được <strong>duyệt</strong> bởi {1}. Chi tiết như sau:</p><table><tbody><tr><td><strong>Người yêu cầu</strong>:</td><td>{0}</td></tr><tr><td><strong>Từ Ngày</strong>:</td><td>{2}</td></tr><tr><td><strong>Đến Ngày</strong>:</td><td>{3}</td></tr></tbody></table><p>Bạn có thể truy cập vào <a href='#link'>liên kết</a> này để xem thêm thông tin.</p><p><strong><em>Note:</em></strong><em> This is an auto-email generated by STADA email system, please </em><strong><em>DO NOT</em></strong><em> reply!</em></p><p><em>Best regards,</em></p><p>STADA Email System</p>",Vehicle Management,"
{0} Requester 
{1} Approvedby
{2} From
{3} To
#link link to page"
VehicleManagement_Reject,Vehicle Request Rejected/Đơn xin đi xe không được duyệt,"<p>Hello/Xin chào {0},</p><p>Your <strong>Vehicle Request&nbsp;</strong> has been <strong>rejected</strong> by {1}. The details as following:</p><table><tbody><tr><td><strong>Requester</strong>:</td><td>{0}</td></tr><tr><td><strong>From</strong>:</td><td>{2}</td></tr><tr><td><strong>To</strong>:</td><td>{3}</td></tr></tbody></table><p>You can access to this&nbsp;<a href='#link'>link</a>&nbsp; for more information.</p><p>&nbsp;</p><p>&nbsp;Đơn <strong>Đăng Ký Tăng Xe</strong> của bạn đã không <strong>duyệt</strong> bởi {1}. Chi tiết như sau:</p><table><tbody><tr><td><strong>Người yêu cầu</strong>:</td><td>{0}</td></tr><tr><td><strong>Từ Ngày</strong>:</td><td>{2}</td></tr><tr><td><strong>Đến Ngày</strong>:</td><td>{3}</td></tr></tbody></table><p>Bạn có thể truy cập vào <a href='#link'>liên kết</a> này để xem thêm thông tin.</p><p><strong><em>Note:</em></strong><em> This is an auto-email generated by STADA email system, please </em><strong><em>DO NOT</em></strong><em> reply!</em></p><p><em>Best regards,</em></p><p>STADA Email System</p>",Vehicle Management,"
{0} Requester 
{1} Rejectedby
{2} From
{3} To
#link link to page"
LeaveManagement_Request,Leave Request/Đơn xin nghỉ phép,"<p>Hello/Xin ch&agrave;o {0},</p><p>You have new <strong>Leave Request</strong> for approval. The details as following:</p><table><tbody><tr><td><strong>Requester</strong>:</td><td>{1}</td></tr><tr><td><strong>Request for</strong>:</td><td>{2}</td></tr><tr><td><strong>From</strong>:</td><td>{3}</td></tr><tr><td><strong>To</strong>:</td><td>{4}</td></tr><tr><td><strong>Total hours</strong>:</td><td>{5}</td></tr><tr><td><strong>Department</strong>:</td><td>{6}</td></tr></tbody></table><p>You can access to this&nbsp;<a href='#link'>link</a>&nbsp; for more information.</p><p>&nbsp;</p><p>Bạn c&oacute; một đơn <strong>Xin Nghỉ Ph&eacute;p</strong> cần duyệt. Chi tiết như sau:</p><table><tbody><tr><td><strong>Người y&ecirc;u cầu</strong>:</td><td>{1}</td></tr><tr><td><strong>L&agrave;m đơn cho:</strong>:</td><td>{2}</td></tr><tr><td><strong>Từ Ng&agrave;y</strong>:</td><td>{3}</td></tr><tr><td><strong>Đến Ng&agrave;y</strong>:</td><td>{4}</td></tr><tr><td><strong>Tổng giờ nghỉ</strong>:</td><td>{5}</td></tr><tr><td><strong>Ph&ograve;ng ban</strong>:</td><td>{7}</td></tr></tbody></table><p>Bạn c&oacute; thể truy cập v&agrave;o <a href='#link'>li&ecirc;n kết</a> n&agrave;y để xem th&ecirc;m th&ocirc;ng tin.</p><p><strong><em>Note:</em></strong><em> This is an auto-email generated by STADA email system, please </em><strong><em>DO NOT</em></strong><em> reply!</em></p><p><em>Best regards,</em></p><p>STADA Email System</p>",Leave Management,"{0} Receiver
{1} Requester
{2} RequestFor
{3} From
{4} To
{5} To
{6} Department
{7} Phòng Ban 
#link Link To page Leave Management"
LeaveManagement_Approve,Leave Request Approved/Đơn xin nghỉ phép được duyệt,"<p>Hello/Xin ch&agrave;o {0},</p><p>Your <strong>Leave Request&nbsp;</strong> has been <strong>approved</strong> by {1}. The details as following:</p><table><tbody><tr><td><strong>Requester</strong>:</td><td>{2}</td></tr><tr><td><strong>Request for</strong>:</td><td>{3}</td></tr><tr><td><strong>From</strong>:</td><td>{4}</td></tr><tr><td><strong>To</strong>:</td><td>{5}</td></tr><tr><td><strong>Total hours</strong>:</td><td>{6}</td></tr><tr><td><strong>Department:</strong></td><td>{7}</td></tr></tbody></table><p>You can access to this&nbsp;<a href='#link'>link</a>&nbsp; for more information.</p><p>&nbsp;</p><p>&nbsp;Đơn<strong>&nbsp;Xin nghỉ ph&eacute;p</strong> của bạn đ&atilde; được <strong>duyệt</strong> bởi {1}. Chi tiết như sau:</p><table><tbody><tr><td><strong>Người y&ecirc;u cầu</strong>:</td><td>{2}</td></tr><tr><td><strong>L&agrave;m đơn cho:</strong></td><td>{3}</td></tr><tr><td><strong>Từ ng&agrave;y:</strong></td><td>{4}</td></tr><tr><td><strong>Đến ng&agrave;y:</strong></td><td>{5}</td></tr><tr><td><strong>Tổng giờ nghỉ:</strong></td><td>{6}</td></tr><tr><td><strong>Ph&ograve;ng ban:</strong></td><td>{8}</td></tr></tbody></table><p>Bạn c&oacute; thể truy cập v&agrave;o <a href='#link'>li&ecirc;n kết</a> n&agrave;y để xem th&ecirc;m th&ocirc;ng tin.</p><p><strong><em>Note:</em></strong><em> This is an auto-email generated by STADA email system, please </em><strong><em>DO NOT</em></strong><em> reply!</em></p><p><em>Best regards,</em></p><p>STADA Email System</p>",Leave Management,"{0} Receiver
{1} Approvedby
{2} Requester
{3} Request for
{4} From
{5} To
{6} Total hours
{7} Department
{8} Phòng ban
#link link to page"
LeaveManagement_Reject,Leave Request Rejected/Đơn xin nghỉ phép không được duyệt,"<p>Hello/Xin ch&agrave;o {0},</p><p>Your <strong>Leave Request&nbsp;</strong> has been <strong>rejected</strong> by {1}. The details as following:</p><table><tbody><tr><td><strong>Requester</strong>:</td><td>{2}</td></tr><tr><td><strong>Request for</strong>:</td><td>{3}</td></tr><tr><td><strong>From</strong>:</td><td>{4}</td></tr><tr><td><strong>To</strong>:</td><td>{5}</td></tr><tr><td><strong>Total hours</strong>:</td><td>{6}</td></tr><tr><td><strong>Department:</strong></td><td>{7}</td></tr></tbody></table><p>You can access to this&nbsp;<a href='#link'>link</a>&nbsp; for more information.</p><p>&nbsp;</p><p>&nbsp;Đơn<strong>&nbsp;Xin nghỉ ph&eacute;p</strong> của bạn đ&atilde; <strong>kh&ocirc;ng được duyệt</strong> bởi {1}. Chi tiết như sau:</p><table><tbody><tr><td><strong>Người y&ecirc;u cầu</strong>:</td><td>{2}</td></tr><tr><td><strong>L&agrave;m đơn cho:</strong></td><td>{3}</td></tr><tr><td><strong>Từ ng&agrave;y:</strong></td><td>{4}</td></tr><tr><td><strong>Đến ng&agrave;y:</strong></td><td>{5}</td></tr><tr><td><strong>Tổng giờ nghỉ:</strong></td><td>{6}</td></tr><tr><td><strong>Ph&ograve;ng ban:</strong></td><td>{8}</td></tr></tbody></table><p>Bạn c&oacute; thể truy cập v&agrave;o <a href='#link'>li&ecirc;n kết</a> n&agrave;y để xem th&ecirc;m th&ocirc;ng tin.</p><p><strong><em>Note:</em></strong><em> This is an auto-email generated by STADA email system, please </em><strong><em>DO NOT</em></strong><em> reply!</em></p><p><em>Best regards,</em></p><p>STADA Email System</p>",Leave Management,"{0} Receiver
{1} Rejectedby
{2} Requester
{3} Request for
{4} From
{5} To
{6} Total hours
{7} Department
{8} Phòng ban
#link link to page"
LeaveManagement_TransferWorkTo,Leave Request Handover/Đơn Thông Báo Bàn Giao Công Việc,"<p>Hello/Xin ch&agrave;o {0},</p><p>{1} has submitted leave from {2} to {3}. To avoid the pending tasks, {1} has transferred the tasks to you<strong>. </strong>{1} will continue working after ending the leave.</p><p>&nbsp;</p><p>{1} đ&atilde; xin nghỉ ph&eacute;p kể từ {2} đến hết {3}. Để c&ocirc;ng việc kh&ocirc;ng bị đ&igrave;nh trệ, {1} c&oacute; b&agrave;n giao c&ocirc;ng việc đang phụ tr&aacute;ch cho bạn<strong>. </strong>Hết thời gian nghỉ ph&eacute;p, {1} sẽ tiếp tục c&ocirc;ng việc được giao ph&oacute;.</p><p>&nbsp;</p><p><strong><em>Note:</em></strong><em> This is an auto-email generated by STADA email system, please </em><strong><em>DO NOT</em></strong><em> reply!</em></p><p><em>Best regards,</em></p><p>STADA Email System</p>",Leave Management,"{0} Receiver
{1} Request for
{2} From
{3} To"
FreightManagement_Request,Freight Request/Đơn xin vận chuyển hàng hóa,"<p>Hello/Xin ch&agrave;o {0},</p><p>You have new <strong>Freight Request</strong> for approval. The details as following:</p><table><tbody><tr><td><strong>Requester</strong>:</td><td>{1}</td></tr><tr><td><strong>Bringer</strong>:</td><td>{2}</td></tr><tr><td><strong>Receiver</strong>:</td><td>{3}</td></tr></tbody></table><p>You can access to this&nbsp;<a href='#link'>link</a>&nbsp; for more information.</p><p>&nbsp;</p><p>Bạn c&oacute; một đơn <strong>Xin Vận Chuyển Hàng Hóa</strong> cần duyệt. Chi tiết như sau:</p><table><tbody><tr><td><strong>Người yêu cầu</strong>:</td><td>{1}</td></tr><tr><td><strong>Người mang hàng</strong>:</td><td>{4}</td></tr><tr><td><strong>Người nhận</strong>:</td><td>{3}</td></tr></tbody></table><p>Bạn c&oacute; thể truy cập v&agrave;o <a href='#link'>li&ecirc;n kết</a> n&agrave;y để xem th&ecirc;m th&ocirc;ng tin.</p><p><strong><em>Note:</em></strong><em> This is an auto-email generated by STADA email system, please </em><strong><em>DO NOT</em></strong><em> reply!</em></p><p><em>Best regards,</em></p><p>STADA Email System</p>",Freight Management,"{0} SendTo
{1} Requester
{2} Bringer
{3} Receiver
{4} BringerInVietnamese
#link Link To page Freight Management"
FreightManagement_Approve,Freight Approved/Đơn xin vận chuyển hàng hóa được duyệt,"<p>Hello/Xin ch&agrave;o {0},</p><p>Your <strong>Freight Request&nbsp;</strong> has been <strong>approved</strong> by {1}. The details as following:</p><table><tbody><tr><td><strong>Requester</strong>:</td><td>{2}</td></tr><tr><td><strong>Bringer</strong>:</td><td>{3}</td></tr><tr><td><strong>Receiver:</strong></td><td>{4}</td></tr></tbody></table><p>You can access to this&nbsp;<a href='#link'>link</a>&nbsp; for more information.</p><p>&nbsp;</p><p>&nbsp;Đơn<strong>&nbsp;Xin Vận Chuyển Hàng Hóa</strong> của bạn đ&atilde; được <strong>duyệt</strong> bởi {1}. Chi tiết như sau:</p><table><tbody><tr><td><strong>Người yêu cầu</strong>:</td><td>{2}</td></tr><tr><td><strong>Người mang hàng</strong>:</td><td>{5}</td></tr><tr><td><strong>Người nhận:</strong></td><td>{4}</td></tr></tbody></table><p>Bạn c&oacute; thể truy cập v&agrave;o <a href='#link'>li&ecirc;n kết</a> n&agrave;y để xem th&ecirc;m th&ocirc;ng tin.</p><p><strong><em>Note:</em></strong><em> This is an auto-email generated by STADA email system, please </em><strong><em>DO NOT</em></strong><em> reply!</em></p><p><em>Best regards,</em></p><p>STADA Email System</p>",Freight Management,"{0} SendTo
{1} Approvedby
{2} Requester
{3} Bringer
{4} Receiver
{5} BringerInVietnamese
#link link to page"
FreightManagement_Reject,Freight Rejected/Đơn xin vận chuyển hàng hóa không được duyệt,"<p>Hello/Xin ch&agrave;o {0},</p><p>Your <strong>Freight Request&nbsp;</strong> has been <strong>rejected</strong> by {1}. The details as following:</p><table><tbody><tr><td><strong>Requester</strong>:</td><td>{2}</td></tr><tr><td><strong>Bringer</strong>:</td><td>{3}</td></tr><tr><td><strong>Receiver:</strong></td><td>{4}</td></tr></tbody></table><p>You can access to this&nbsp;<a href='#link'>link</a>&nbsp; for more information.</p><p>&nbsp;</p><p>&nbsp;Đơn<strong>&nbsp;Xin Vận Chuyển Hàng Hóa</strong> của bạn đ&atilde; <strong>kh&ocirc;ng được duyệt</strong> bởi {1}. Chi tiết như sau:</p><table><tbody><tr><td><strong>Người yêu cầu</strong>:</td><td>{2}</td></tr><tr><td><strong>Người mang hàng</strong>:</td><td>{5}</td></tr><tr><td><strong>Người nhận:</strong></td><td>{4}</td></tr></tbody></table><p>Bạn c&oacute; thể truy cập v&agrave;o <a href='#link'>li&ecirc;n kết</a> n&agrave;y để xem th&ecirc;m th&ocirc;ng tin.</p><p><strong><em>Note:</em></strong><em> This is an auto-email generated by STADA email system, please </em><strong><em>DO NOT</em></strong><em> reply!</em></p><p><em>Best regards,</em></p><p>STADA Email System</p>",Freight Management,"{0} SendTo
{1} Rejectedby
{2} Requester
{3} Bringer
{4} Receiver
{5} BringerInVietnamese
#link link to page"
BusinessTripManagement_Request,Business Trip Request/Đơn xin đi công tác,"<p>Hello/Xin ch&agrave;o {0},</p><p>You have new <strong>Business Trip Request</strong> for approval. The details as following:</p><table><tbody><tr><td><strong>Requester</strong>:</td><td>{1}</td></tr><tr><td><strong>Purpose</strong>:</td><td>{2}</td></tr><tr><td><strong>Type of Business Trip</strong>:</td><td>{3}</td></tr></tbody></table><p>You can access to this&nbsp;<a href='#link'>link</a>&nbsp; for more information.</p><p>&nbsp;</p><p>Bạn c&oacute; một đơn <strong>Xin Đi Công Tác</strong> cần duyệt. Chi tiết như sau:</p><table><tbody><tr><td><strong>Người yêu cầu</strong>:</td><td>{1}</td></tr><tr><td><strong>Mục đích công tác</strong>:</td><td>{2}</td></tr><tr><td><strong>Loại đi công tác</strong>:</td><td>{4}</td></tr></tbody></table><p>Bạn c&oacute; thể truy cập v&agrave;o <a href='#link'>li&ecirc;n kết</a> n&agrave;y để xem th&ecirc;m th&ocirc;ng tin.</p><p><strong><em>Note:</em></strong><em> This is an auto-email generated by STADA email system, please </em><strong><em>DO NOT</em></strong><em> reply!</em></p><p><em>Best regards,</em></p><p>STADA Email System</p>",Business Trip Management,"{0} SendTo
{1} Requester
{2} Purpose
{3} TypeOfBusinessTripEN
{4} TypeOfBusinessTripVN
#link Link To page Business Trip Management Request"
BusinessTripManagement_Approve,Business Trip Approved/Đơn xin đi công tác được duyệt,"<p>Hello/Xin ch&agrave;o {0},</p><p>Your <strong>Business Trip Request&nbsp;</strong> has been <strong>approved</strong> by {1}. The details as following:</p><table><tbody><tr><td><strong>Requester</strong>:</td><td>{2}</td></tr><tr><td><strong>Purpose</strong>:</td><td>{3}</td></tr><tr><td><strong>Type of Business Trip:</strong></td><td>{4}</td></tr></tbody></table><p>You can access to this&nbsp;<a href='#link'>link</a>&nbsp; for more information.</p><p>&nbsp;</p><p>&nbsp;Đơn<strong>&nbsp;Xin Đi Công Tác</strong> của bạn đ&atilde; được <strong>duyệt</strong> bởi {1}. Chi tiết như sau:</p><table><tbody><tr><td><strong>Người yêu cầu</strong>:</td><td>{2}</td></tr><tr><td><strong>Mục đích công tác</strong>:</td><td>{3}</td></tr><tr><td><strong>Loại đi công tác:</strong></td><td>{5}</td></tr></tbody></table><p>Bạn c&oacute; thể truy cập v&agrave;o <a href='#link'>li&ecirc;n kết</a> n&agrave;y để xem th&ecirc;m th&ocirc;ng tin.</p><p><strong><em>Note:</em></strong><em> This is an auto-email generated by STADA email system, please </em><strong><em>DO NOT</em></strong><em> reply!</em></p><p><em>Best regards,</em></p><p>STADA Email System</p>",Business Trip Management,"{0} SendTo
{1} Approvedby
{2} Requester
{3} Purpose
{4} TypeOfBusinessTripEN
{5} TypeOfBusinessTripVN
#link Link To page Business Trip Management Approve"
BusinessTripManagement_Reject,Business Trip Rejected/Đơn xin đi công tác không được duyệt,"<p>Hello/Xin ch&agrave;o {0},</p><p>Your <strong>Business Trip Request&nbsp;</strong> has been <strong>rejected</strong> by {1}. The details as following:</p><table><tbody><tr><td><strong>Requester</strong>:</td><td>{2}</td></tr><tr><td><strong>Purpose</strong>:</td><td>{3}</td></tr><tr><td><strong>Type of Business Trip:</strong></td><td>{4}</td></tr></tbody></table><p>You can access to this&nbsp;<a href='#link'>link</a>&nbsp; for more information.</p><p>&nbsp;</p><p>&nbsp;Đơn<strong>&nbsp;Xin Đi Công Tác</strong> của bạn đ&atilde; <strong>kh&ocirc;ng được duyệt</strong> bởi {1}. Chi tiết như sau:</p><table><tbody><tr><td><strong>Người yêu cầu</strong>:</td><td>{2}</td></tr><tr><td><strong>Mục đích công tác</strong>:</td><td>{3}</td></tr><tr><td><strong>Loại đi công tác:</strong></td><td>{5}</td></tr></tbody></table><p>Bạn c&oacute; thể truy cập v&agrave;o <a href='#link'>li&ecirc;n kết</a> n&agrave;y để xem th&ecirc;m th&ocirc;ng tin.</p><p><strong><em>Note:</em></strong><em> This is an auto-email generated by STADA email system, please </em><strong><em>DO NOT</em></strong><em> reply!</em></p><p><em>Best regards,</em></p><p>STADA Email System</p>",Business Trip Management,"{0} SendTo
{1} Rejectedby
{2} Requester
{3} Purpose
{4} TypeOfBusinessTripEN
{5} TypeOfBusinessTripVN
#link Link To page Business Trip Management Reject"
BusinessTripManagement_Driver,Business Trip Pickup Reservation/Yêu cầu đưa rước khách đi công tác,"<p>Hello/Xin ch&agrave;o {0},</p><p>You have a new <strong>Business Trip Pickup Reservation&nbsp;</strong> to process. The details as following:</p><table><tbody><tr><td><strong>Requester</strong>:</td><td>{1}</td></tr><tr><td><strong>Purpose</strong>:</td><td>{2}</td></tr><tr><td><strong>Type of Business Trip:</strong></td><td>{3}</td></tr></tbody></table><p>You can access to this&nbsp;<a href='#link'>link</a>&nbsp; for more information.</p><p>&nbsp;</p><p>Bạn c&oacute; một yêu cầu <strong>Đưa Rước Khách Đi Công Tác</strong> cần xử lý. Chi tiết như sau:</p><table><tbody><tr><td><strong>Người yêu cầu</strong>:</td><td>{1}</td></tr><tr><td><strong>Mục đích công tác</strong>:</td><td>{2}</td></tr><tr><td><strong>Loại đi công tác:</strong></td><td>{4}</td></tr></tbody></table><p>Bạn c&oacute; thể truy cập v&agrave;o <a href='#link'>li&ecirc;n kết</a> n&agrave;y để xem th&ecirc;m th&ocirc;ng tin.</p><p><strong><em>Note:</em></strong><em> This is an auto-email generated by STADA email system, please </em><strong><em>DO NOT</em></strong><em> reply!</em></p><p><em>Best regards,</em></p><p>STADA Email System</p>",Business Trip Management,"{0} SendTo
{1} Requester
{2} Purpose
{3} TypeOfBusinessTripEN
{4} TypeOfBusinessTripVN
#link Link To page Business Trip Management Driver"
BusinessTripManagement_Accountant,Business Trip Cash Request/Yêu cầu tiền mặt để đi công tác,"<p>Hello/Xin ch&agrave;o {0},</p><p>You have a new <strong>Business Trip Cash Request&nbsp;</strong> to process. The details as following:</p><table><tbody><tr><td><strong>Requester</strong>:</td><td>{1}</td></tr><tr><td><strong>Purpose</strong>:</td><td>{2}</td></tr><tr><td><strong>Type of Business Trip:</strong></td><td>{3}</td></tr></tbody></table><p>You can access to this&nbsp;<a href='#link'>link</a>&nbsp; for more information.</p><p>&nbsp;</p><p>Bạn c&oacute; một yêu cầu <strong>Tiền Mặt Để Đi Công Tác</strong> cần xử lý. Chi tiết như sau:</p><table><tbody><tr><td><strong>Người yêu cầu</strong>:</td><td>{1}</td></tr><tr><td><strong>Mục đích công tác</strong>:</td><td>{2}</td></tr><tr><td><strong>Loại đi công tác:</strong></td><td>{4}</td></tr></tbody></table><p>Bạn c&oacute; thể truy cập v&agrave;o <a href='#link'>li&ecirc;n kết</a> n&agrave;y để xem th&ecirc;m th&ocirc;ng tin.</p><p><strong><em>Note:</em></strong><em> This is an auto-email generated by STADA email system, please </em><strong><em>DO NOT</em></strong><em> reply!</em></p><p><em>Best regards,</em></p><p>STADA Email System</p>",Business Trip Management,"{0} SendTo
{1} Requester
{2} Purpose
{3} TypeOfBusinessTripEN
{4} TypeOfBusinessTripVN
#link Link To page Business Trip Management Accountant"